24,64
w_,_802225425056748257
w_,_8106408931326473602
w_,_12322473855321975107
w_,_7120049742105602852
r_,_4859797842131409695
w_,_5646204312060866901
w_,_13652527008284760783
r_,_13428501695115922085
w_,_13652527008284760783
w_,_16484059654340338700
r_,_1029302608814457148
w_,_8396187757432912088
w_,_9007299196278828486
w_,_16430113155366295464
w_,_14592072220521561867
w_,_16783482583806362598
w_,_18058022440866196791
r_,_116553532272262194
r_,_2766054468527504191
w_,_15869469140293806855
r_,_1177781067915675104
w_,_14374218163031952796
r_,_13652527008284760783
w_,_13376693643628612243
